Fighters Name,Weight (lbs),Height (cm),Reach (cm),SLpM,Str.Acc,SApM,Str.Def,Td.Avg,Td.Acc,Td.Def,Avg.Sub,W.KO,W.Sub,W.Dec,L.Sub,L.Dec,L.KO,KD.Ratio,Str.Stand,Str.Clinch,Str.Ground,Str.Head,Str.Body,Str.Leg,Avg.Fight Time,Type
Luke Barnatt,185,198,196,4.43,0.36,3.87,0.59,0.63,0.43,0.64,0.42,0.6,0.13,0.27,0.13,0.63,0.24,0.42,0.81,0.15,0.04,0.69,0.21,0.1,11:56,MMA
Josh Barnett,250,191,191,4.27,0.62,5.75,0.57,0.82,0.63,0.56,0.82,0.29,0.54,0.17,0.13,0.37,0.5,0.16,0.34,0.44,0.22,0.63,0.3,0.07,09:11,Grappler
Chris Beal,135,170,175,3.45,0.36,3.18,0.62,1.6,0.58,0.78,0.23,0.3,0,0.7,0.17,0.5,0.33,0.23,0.65,0.13,0.22,0.85,0.12,0.03,13:06,MMA
Mirsad Bektic,145,173,178,2.59,0.41,1.89,0.58,3.32,0.48,0.92,0.5,0.54,0.15,0.31,0,0.33,0.67,0.33,0.43,0.11,0.46,0.84,0.12,0.04,10:03,Grappler
Alan Belcher,185,188,191,2.7,0.42,3.1,0.6,0.44,0.27,0.55,0.87,0.5,0.39,0.11,0.13,0.63,0.24,0.33,0.68,0.16,0.17,0.57,0.16,0.27,09:11,MMA
Vitor Belfort,185,183,188,1.81,0.46,4.85,0.51,0.35,0.75,0.54,0.58,0.69,0.12,0.19,0.14,0.36,0.5,0.93,0.49,0.22,0.29,0.77,0.14,0.09,06:25,Striker
Joseph Benavidez,125,163,165,3.45,0.34,2.54,0.63,1.45,0.3,0.66,0.6,0.29,0.32,0.39,0,0.67,0.33,0.4,0.79,0.12,0.09,0.54,0.26,0.2,12:02,MMA
Ryan Benoit,125,165,174,2.38,0.36,3.2,0.6,0.24,0.2,0.63,0.24,0.8,0.1,0.1,0.33,0.67,0,0.98,0.78,0.08,0.12,0.8,0.12,0.08,10:13,Striker
Dennis Bermudez,145,168,168,4.42,0.46,3.07,0.59,3.89,0.4,0.83,1.07,0.24,0.24,0.52,0.44,0.33,0.22,0.38,0.53,0.18,0.29,0.67,0.15,0.18,11:35,MMA
Arjan Bhullar,245,185,192,2.16,0.53,2.38,0.61,1.62,0.67,1,0,0.38,0,0.62,0,1,0,0.41,0.56,0.23,0.21,0.9,0.06,0.04,12:20,Grappler
Brad Blackburn,170,178,185,4.55,0.36,3.59,0.65,0.93,0.5,0.77,0.7,0.5,0.22,0.28,0.08,0.67,0.25,1.16,0.87,0.05,0.08,0.62,0.15,0.23,12:55,Striker
Anthony Birchak,135,173,175,3.98,0.35,2.26,0.66,0.68,0.17,0.83,1.5,0.31,0.46,0.23,0.33,0.47,0.2,1.36,0.67,0.24,0.09,0.53,0.26,0.2,05:31,MMA
Jan Blachowicz,205,188,198,3.45,0.49,2.77,0.54,1.16,0.52,0.66,0.27,0.27,0.35,0.38,0.13,0.63,0.24,0.45,0.71,0.15,0.14,0.66,0.22,0.12,12:01,MMA
Curtis Blaydes,265,193,203,3.71,0.51,2.03,0.55,6.79,0.57,0.25,0,0.75,0,0.25,0,0,1,0.17,0.36,0.17,0.47,0.7,0.14,0.16,09:49,Grappler
Kyle Bochniak,145,170,178,2.6,0.32,4.73,0.59,1.17,0.19,0.63,0.6,0.25,0.25,0.5,0,1,0,0.17,0.9,0.08,0.02,0.66,0.13,0.21,15:00,MMA
Tim Boetsch,185,183,188,2.93,0.51,2.9,0.57,1.45,0.34,0.59,0.76,0.62,0.14,0.24,0.38,0.31,0.31,0.48,0.63,0.25,0.12,0.57,0.25,0.17,09:02,MMA
Stephan Bonnar,205,193,203,2.65,0.4,3.35,0.52,1.47,0.41,0.52,1.12,0.2,0.47,0.33,0,0.67,0.33,0.17,0.43,0.32,0.25,0.71,0.19,0.1,11:34,Grappler
Henry Cejudo,135,162,162,3.82,0.31,2.73,0.54,2.16,0.35,0.86,0.21,0.27,0,0.54,0,0.09,0.09,0.43,0.58,0.24,0.17,0.59,0.33,0.08,12:36,Grappler
Michael Chiesa,170,185,190,2.07,0.27,1.95,0.52,3.84,0.38,0.68,1.09,0,0.65,0.35,0.21,0,0.07,0.12,0.58,0.13,0.29,0.74,0.18,0.08,08:55,Grappler
Devin Clark,185,182,190,3.12,0.42,2.45,0.34,3.03,0.42,0.8,0.12,0.3,0.1,0.6,0.2,0,0.13,0.3,0.47,0.24,0.29,0.61,0.22,0.17,11:01,Grappler
Zak Cummings,185,182,190,2.63,0.32,2.96,0.4,0.88,0.22,0.54,0.83,0.22,0.14,0.16,0.29,0.71,0,0.44,0.75,0.17,0.08,0.62,0.19,0.19,10:19,Grappler
Patrick Cummins,205,187,193,4.23,0.5,3.35,0.55,4.5,0.41,0.18,0.11,0.4,0.2,0.4,0.14,0.14,0.71,0,0.43,0.17,0.4,0.82,0.11,0.08,09:26,Grappler
Jussier Formiga,125,165,170,1.36,0.39,2.23,0.53,1.91,0.27,0.8,0.58,0,0.43,0.57,0,0.57,0.43,0.19,0.69,0.13,0.18,0.73,0.16,0.11,11:34,Grappler
Claudia Gadelha,115,162,160,3.17,0.42,4.38,0.58,3.34,0.47,0.46,0.8,0.12,0.41,0.47,0,1,0,0.1,0.76,0.13,0.11,0.85,0.12,0.03,14:48,Grappler
Ian Heinisch,185,180,182,3.4,0.5,2.94,0.59,1.21,0.19,0.62,0.5,0.31,0.15,0.54,0.33,0.67,0,0.25,0.67,0.15,0.18,0.62,0.2,0.18,15:00,Grappler
Dan Ige,145,170,180,3.87,0.36,2.98,0.5,2.15,0.19,0.49,0.52,0.15,0.28,0.22,0,1,0,0.48,0.55,0.11,0.35,0.72,0.18,0.1,10:21,Grappler
Miles Johns,135,170,172,2.61,0.34,3.19,0.52,1.16,0.49,0.79,0,0.2,0.2,0.6,0,0,1,0,0.75,0.16,0.09,0.91,0.05,0.05,10:51,Grappler
Ilir Latifi,230,177,185,2.01,0.28,2.84,0.56,2.02,0.21,1,0.41,0.43,0.29,0.29,0,0.5,0.5,0.58,0.67,0.13,0.2,0.69,0.14,0.16,08:00,Grappler
Kevin Lee,155,175,195,3.98,0.3,3.2,0.38,3.15,0.31,0.7,0.89,0.17,0.44,0.39,0.5,0.33,0.17,0,0.53,0.1,0.37,0.78,0.2,0.02,12:05,Grappler
Nik Lentz,155,172,172,3.47,0.37,3.08,0.37,3.49,0.22,0.31,1.25,0.37,0.27,0.37,0.18,0.55,0.27,0.11,0.58,0.2,0.22,0.61,0.24,0.15,12:35,Grappler
Randa Markos,115,165,160,2.94,0.41,3.24,0.48,1.51,0.28,0.42,0.25,0,0.4,0.6,0.13,0.88,0,0,0.61,0.17,0.22,0.79,0.09,0.12,13:05,Grappler
Anthony Rocco Martin,170,182,185,2.76,0.26,2.58,0.59,0.75,0.16,0.41,1.11,0.06,0.53,0.41,0.4,0.6,0,0.21,0.82,0.09,0.09,0.75,0.09,0.16,12:09,Grappler
Renato Moicano,155,180,182,5.51,0.34,3.68,0.55,1.25,0.43,0.67,0.49,0,0.5,0.5,0.33,0,0.67,0.19,0.96,0.01,0.03,0.64,0.1,0.26,09:41,Grappler
Journey Newson,135,165,170,2.81,0.33,2.62,0.55,0,0,0,0.98,0.33,0.33,0.33,0,0.5,0.5,0.96,0.86,0.02,0.11,0.34,0.2,0.45,07:49,Grappler
Aleksei Oleinik,235,187,203,3.07,0.37,3.26,0.39,3,0.28,0.06,2.73,0.14,0.79,0.07,0.61,0.24,0.15,0.66,0.61,0.24,0.15,0.67,0.22,0.11,05:39,Grappler
Domingo Pilarte,135,182,187,1.4,0.36,4.5,0.3,1.96,0.28,0.75,1.13,0.25,0.5,0.25,0,1,0,0,0.42,0.58,0,0.42,0.42,0.17,07:49,Grappler
Amanda Ribas,115,162,167,3.88,0.36,1.34,0.62,3.1,0.3,0.85,2.89,0.33,0.33,0.33,0,0,1,0,0.48,0.19,0.33,0.76,0.19,0.05,07:10,Grappler
Gilbert Burns,155,177,180,3.17,0.44,3.13,0.45,2.49,0.26,0.31,0.7,0.33,0.44,0.22,0,0.67,0.33,0.36,0.69,0.12,0.19,0.62,0.22,0.16,10:34,Grappler
Ricky Simon,135,167,175,2.73,0.27,3.96,0.57,5.43,0.3,0.63,0.26,0.33,0.13,0.53,0.33,0.33,0.33,0.67,0.74,0.11,0.15,0.64,0.22,0.14,15:00,Grappler
Ronaldo Souza,185,185,182,2.69,0.37,3.94,0.51,1.87,0.17,0.49,1.09,0.31,0.54,0.15,0,0.63,0.38,0.3,0.62,0.15,0.23,0.67,0.25,0.08,10:51,Grappler
Rodrigo Nogueira,240,190,195,2.39,0.29,5.79,0.55,1.29,0.17,0.36,2,0.09,0.62,0.29,0.2,0.5,0.3,0.64,0.77,0.19,0.04,0.8,0.15,0.05,08:29,Grappler
Jake Shields,170,182,182,2.61,0.21,2.65,0.56,2.01,0.07,0.24,0.66,0.09,0.36,0.55,0.09,0.55,0.36,0,0.71,0.21,0.08,0.38,0.37,0.24,15:44,Grappler
Edmen Shahbazyan,185,187,187,3.17,0.45,2.36,0.42,7.22,0.26,0.75,0.4,0.82,0.09,0.09,0,0,0,0.96,0.4,0.51,0.09,0.71,0.17,0.11,07:49,Grappler
Franciso Trinaldo,155,175,177,3.2,0.32,2.53,0.47,1.09,0.33,0.5,0.5,0.32,0.2,0.48,0.43,0.57,0,0.29,0.65,0.19,0.16,0.61,0.27,0.12,11:26,Grappler
Ronda Rousey,135,170,172,4.47,0.52,4.68,0.44,5.55,0.61,0.5,3.91,0.25,0.75,0,0,0,1,1.21,0.33,0.42,0.25,0.7,0.2,0.09,03:06,Grappler
Belal Muhammad,170,180,182,4.37,0.29,3.81,0.6,2.15,0.2,0.83,0.21,0.25,0.06,0.69,0,0.67,0.33,0,0.86,0.04,0.09,0.72,0.12,0.16,13:15,Grappler
Miesha Tate,135,167,165,2.05,0.3,3.55,0.38,1.62,0.15,0.52,0.17,0.39,0.44,0.43,0.29,0.29,0.12,0.57,0.57,0.21,0.22,0.68,0.24,0.08,13:58,Grappler
Paul Craig,205,193,193,2.12,0.34,2.65,0.35,1.69,0.11,0.39,1.49,0.08,0.92,0,0.25,0,0.75,0,0.66,0.27,0.07,0.34,0.41,0.25,10:03,Grappler
Blagoy Ivanov,250,180,185,3.32,0.25,4.18,0.42,0.81,0.81,0.87,0.1,0.33,0.33,0.33,0.33,0.67,0,0.27,0.92,0.05,0.03,0.79,0.18,0.03,18:20,Grappler
Antonio Carlos Junior,185,187,200,1.51,0.3,2.81,0.3,3.31,0.57,0.55,1.54,0,0.8,0.2,0,0.75,0.25,0,0.65,0.26,0.09,0.52,0.26,0.22,06:51,Grappler
Brett Johns,135,170,180,3.35,0.48,4.5,0.42,4,0.36,0.63,0.75,0.13,0.38,0.5,0,1,0,0,0.63,0.09,0.29,0.88,0.09,0.02,12:06,Grappler
Gregor Gillespie,155,175,180,3.59,0.4,1.97,0.47,7.23,0.36,0,0.93,0.46,0.38,0.15,0,0,1,0.65,0.3,0.08,0.62,0.84,0.08,0.08,07:44,Grappler
Frank Mir,264,190,200,2.18,0.47,3.84,0.26,2.02,0.4,0.42,2.01,0.26,0.47,0.21,0,0.23,0.77,0.77,0.42,0.33,0.24,0.54,0.3,0.16,05:46,Grappler
Rani Yahya,135,167,170,1.53,0.26,1.6,0.5,2.99,0.23,0.14,2.13,0,0.77,0.23,0.1,0.7,0.2,0,0.66,0.09,0.25,0.56,0.21,0.23,09:35,Grappler
Tim Elliot,125,170,167,3.49,0.46,2.57,0.6,4.14,0.45,0.6,1.22,0.2,0.4,0.4,0.4,0.5,0.1,0.1,0.6,0.18,0.22,0.63,0.2,0.16,12:04,Grappler
Matt Serra,170,167,172,1.98,0.27,2.64,0.34,2.05,0.12,0.26,0.89,0.18,0.45,0.36,0,0.71,0.29,0.45,0.59,0.18,0.23,0.51,0.34,0.15,12:02,Grappler
Matt Hughes,170,175,185,2.14,0.53,1.36,0.4,2.95,0.5,0.35,1.19,0.47,0.31,0.22,0.44,0,0.56,0.22,0.32,0.1,0.58,0.69,0.19,0.11,08:51,Grappler
Roxanne Modafferi,125,167,175,3.52,0.19,5.81,0.43,1.95,0.11,0.29,0.17,0.17,0.21,0.63,0.19,0.75,0.06,0,0.81,0.06,0.13,0.83,0.1,0.07,15:53,Grappler
Derek Brunson,185,185,195,3.3,0.45,3.07,0.4,2.7,0.17,1,0.48,0.55,0.15,0.3,0,0.29,0.71,0.77,0.6,0.2,0.2,0.73,0.09,0.18,06:32,Grappler
Fabricio Werdum,231,193,195,4.17,0.42,3.43,0.44,1.33,0.16,0.2,0.72,0.26,0.48,0.26,0,0.63,0.38,0.34,0.76,0.12,0.12,0.65,0.18,0.17,11:00,Grappler
Germain De Randamie,135,175,180,2.93,0.35,2.46,0.54,0,0,0.76,0,0.44,0,0.56,0.25,0.5,0.25,0.22,0.57,0.43,0,0.4,0.38,0.21,11:37,Striker
Andre Ewell,135,180,193,3.74,0.28,3.95,0.54,0.21,0.5,0.55,0,0.44,0.25,0.31,0.5,0.33,0.17,0.21,0.97,0.02,0,0.69,0.28,0.03,14:30,Striker
Rob Font,135,172,180,5.02,0.28,3.88,0.63,1.27,0.22,0.22,0.86,0.41,0.24,0.35,0.25,0.75,0,0.92,0.82,0.1,0.07,0.7,0.21,0.09,09:02,Striker
Jairzinho Rozenstruik,242,193,198,3.72,0.33,3.05,0.32,0,0,0.75,0,0.9,0,0.1,0,0,0,1.91,0.71,0.21,0.09,0.68,0.15,0.18,07:52,Striker
Walt Harris,250,195,195,2.96,0.38,2.68,0.49,0.35,0.33,0.76,0.19,1,0,0,0.14,0.43,0.29,1.4,0.66,0.09,0.24,0.68,0.24,0.08,06:35,Striker
Alexander Gustafsson,205,195,200,4.02,0.4,3.44,0.38,1.56,0.27,0.85,0.4,0.61,0.17,0.22,0.33,0.33,0.33,0.74,0.77,0.08,0.15,0.69,0.15,0.16,11:26,Striker
Jessica Eye,135,167,167,3.65,0.25,3.37,0.47,0.48,0.36,0.44,0.7,0.2,0.07,0.73,0.14,0.71,0.14,0,0.82,0.14,0.04,0.62,0.18,0.2,13:21,Striker
Volkan Oezdemir,205,187,190,4.88,0.33,4.14,0.43,0.39,0.22,0.72,0,0.71,0.06,0.24,0.5,0.25,0.25,0.58,0.74,0.18,0.08,0.62,0.18,0.2,09:38,Striker
Alexander Rakic,205,195,198,5.21,0.4,2.02,0.38,1.24,0.38,0.88,0.15,0.75,0.08,0.17,0.5,0.5,0,1.29,0.44,0.08,0.48,0.67,0.14,0.19,08:43,Striker
Jared Cannonier,185,180,195,3.67,0.51,2.79,0.55,0.19,0.33,0.33,0,0.69,0.15,0.15,0,0.5,0.5,0.59,0.69,0.18,0.12,0.75,0.1,0.15,08:28,Striker
Stephen Thompson,170,182,190,3.93,0.44,2.73,0.47,0.36,0.45,0.78,0,0.47,0.07,0.47,0,0.75,0.25,0.72,0.89,0.06,0.05,0.66,0.23,0.11,13:49,Striker
Geoff Neal,170,180,190,6.02,0.49,3.67,0.65,0.87,0.5,0.89,0.42,0.62,0.15,0.23,0.5,0,0.5,2.25,0.68,0.12,0.21,0.91,0.07,0.03,06:40,Striker
Alex Oliveira,170,180,193,2.98,0.38,2.22,0.32,2.76,0.37,0.46,0.68,0.57,0.24,0.19,0.5,0.38,0.13,0.55,0.48,0.29,0.23,0.62,0.24,0.14,09:09,Striker
Vicente Luque,170,180,190,5.18,0.41,5.34,0.39,0.82,0.5,0.53,0.98,0.53,0.35,0.12,0.29,0.71,0,0.96,0.85,0.06,0.09,0.62,0.12,0.27,08:25,Striker
Mike Perry,170,177,180,4.27,0.47,4.46,0.45,0.61,0.29,0.7,0,0.85,0,0.15,0.17,0.67,0.17,0.87,0.74,0.15,0.1,0.65,0.15,0.2,10:57,Striker
Conor McGregor,170,175,187,5.43,0.49,4.4,0.55,0.75,0.51,0.7,0,0.86,0.05,0.09,1,0,0,1.95,0.77,0.11,0.13,0.71,0.17,0.13,08:20,Striker
Dan Hooker,155,182,190,4.55,0.31,4.9,0.41,0.45,0.24,0.68,0.38,0.5,0.35,0.15,0.25,0.63,0.13,0.78,0.84,0.11,0.05,0.7,0.14,0.16,08:42,Striker
Paul Felder,155,180,177,3.6,0.31,3.24,0.37,0.28,0.2,0.47,0.26,0.59,0.06,0.35,0,0.8,0.2,0.32,0.65,0.17,0.18,0.56,0.2,0.24,11:46,Striker
Yair Rodriguez,145,180,180,4.33,0.45,3.13,0.45,0.9,0.19,0.52,0.9,0.31,0.23,0.46,0,0,1,0.34,0.75,0.07,0.18,0.57,0.19,0.24,13:17,Striker
Francis Ngannou,250,193,210,2.15,0.26,1.97,0.48,0,0,0.71,0.47,0.71,0.29,0,0,1,0,1.12,0.67,0.15,0.18,0.79,0.12,0.09,06:05,Striker
Derrick Lewis,260,190,200,2.53,0.49,2.14,0.31,0.48,0.24,0.53,0,0.78,0.04,0.17,0.14,0.29,0.57,0.4,0.4,0.2,0.4,0.77,0.18,0.05,09:55,Striker
Thiago Santos,205,187,193,4.44,0.35,2.19,0.57,0.83,0.4,0.68,0.1,0.71,0.05,0.24,0.29,0.29,0.43,1.25,0.5,0.19,0.3,0.55,0.21,0.23,07:36,Striker
Al Iaquinta,155,177,177,4.18,0.28,4.24,0.5,0.72,0.13,0.74,0.25,0.5,0.07,0.43,0.5,0.5,0,0.71,0.91,0.05,0.04,0.7,0.18,0.12,12:20,Striker
Calvin Kattar,145,180,182,5.12,0.41,6.36,0.57,0.47,0.33,0.68,0,0.5,0.1,0.4,0.25,0.75,0,0.71,0.89,0.01,0.1,0.79,0.13,0.09,10:38,Striker
Joanna Jedrzejczyk,155,167,165,6.18,0.34,2.92,0.53,0.21,0.54,0.81,0.05,0.25,0.06,0.69,0,0.75,0.25,0.07,0.81,0.18,0.01,0.48,0.25,0.27,18:29,Striker
Robert Whittaker,185,183,185,4.79,0.28,3.67,0.61,0.36,0.57,0.84,0,0.48,0.24,0.29,0.2,0.4,0.4,0.75,0.82,0.09,0.09,0.7,0.13,0.17,12:20,Striker
Greg Hardy,265,195,203,4.32,0.33,2.81,0.49,0,0,0.61,0,1,0,0,0,1,0,0,0.59,0.21,0.21,0.72,0.17,0.1,07:28,Striker
John Lineker,135,160,170,5.29,0.4,4.11,0.56,0.54,0.47,0.57,0.6,0.44,0.13,0.41,0.33,0.67,0,1.04,0.81,0.09,0.11,0.56,0.36,0.09,11:33,Striker
Jimi Manuwa,205,185,200,2.43,0.54,3.98,0.49,0.53,0.11,0.6,0.38,0.88,0.06,0.06,0,0.17,0.83,0.54,0.62,0.36,0.02,0.41,0.28,0.31,07:36,Striker
Cody Gabrandt,135,172,165,3.35,0.37,3.53,0.53,0.94,0.33,1,0,0.82,0,0.18,0,0,1,1.7,0.9,0.03,0.07,0.82,0.09,0.09,08:50,Striker
Marlon Moraes,135,167,170,3.38,0.24,3.14,0.52,0.44,0.25,0.49,0.68,0.43,0.26,0.3,0.33,0.17,0.5,1.72,0.91,0,0.09,0.5,0.27,0.24,06:59,Striker
Sodiq Yusuff,145,175,180,5.83,0.35,4.89,0.58,0,0,0.62,0.35,0.55,0,0.45,0,0,1,0.82,0.73,0.11,0.16,0.64,0.21,0.15,09:07,Striker
Pedro Munhoz,135,167,165,5.29,0.3,6.17,0.57,0.92,0.21,0.73,1.07,0.22,0.5,0.28,0,1,0,0.66,0.86,0.07,0.07,0.55,0.2,0.25,08:46,Striker
Danny Roberts,170,185,187,3.41,0.3,3.09,0.55,0.09,0,0.42,0.41,0.47,0.29,0.24,0.4,0,0.6,0.42,0.62,0.14,0.24,0.66,0.19,0.16,09:02,Striker
David Teymur,155,175,185,4.7,0.43,3.47,0.43,0.99,0.33,0.72,0,0.5,0,0.5,0.5,0.5,0,0.52,0.9,0.08,0.02,0.43,0.2,0.37,11:34,Striker
Song Yadong,135,172,170,3.54,0.26,2.74,0.5,0.97,1,0.55,0.67,0.4,0.2,0.4,0,0.5,0.25,0.97,0.79,0.04,0.17,0.7,0.15,0.16,09:16,Striker
Katlyn Chookagian,125,175,172,4.11,0.21,4.49,0.63,0,0,0.5,0.1,0.15,0.08,0.77,0,0.67,0.33,0.11,0.93,0.05,0.02,0.59,0.22,0.19,14:34,Striker
Joanne Calderwood,115,167,165,6.02,0.36,4.22,0.38,1.73,0.41,0.41,0.61,0.36,0.07,0.57,0.5,0.5,0,0.54,0.73,0.17,0.1,0.47,0.21,0.32,10:29,Striker
Yancy Medeiros,155,177,190,4.1,0.35,5.75,0.33,0.13,0.25,0.76,0.53,0.53,0.27,0.2,0.14,0.29,0.57,1.25,0.85,0.08,0.07,0.65,0.23,0.12,07:41,Striker
Mirko Cro Cop,220,187,185,2.06,0.33,3.55,0.52,0.22,0.23,0.78,0.34,0.79,0.11,0.11,0.18,0.27,0.55,0.39,0.54,0.28,0.18,0.71,0.21,0.08,10:37,Striker
Mark Hunt,265,177,182,2.59,0.43,3.58,0.51,0.51,0.41,0.64,0.13,0.77,0,0.23,0.5,0.14,0.36,0.67,0.85,0.07,0.08,0.79,0.11,0.1,11:10,Striker
Lyoto Machida,185,185,187,2.55,0.39,1.8,0.49,0.97,0.52,0.66,0.41,0.42,0.08,0.5,0.22,0.44,0.33,0.73,0.71,0.12,0.16,0.5,0.27,0.22,11:54,Striker
Wanderlei Silva,185,180,187,2.94,0.22,4.92,0.6,0.64,0.39,0.51,0.38,0.77,0.03,0.2,0,0.5,0.5,1.29,0.77,0.13,0.1,0.73,0.1,0.17,10:22,Striker
Tony Ferguson,155,180,193,5.66,0.45,3.65,0.51,0.58,0.3,0.66,1.44,0.5,0.31,0.19,0.33,0.67,0,0.3,0.89,0.03,0.08,0.64,0.16,0.2,10:04,MMA
Brad Tavares,185,185,187,3.01,0.28,2.74,0.43,1.03,0.27,0.68,0,0.29,0.12,0.59,0,0.5,0.5,0.2,0.79,0.16,0.05,0.6,0.17,0.23,13:34,MMA
Alessio Di Chirico,185,182,187,3.2,0.42,3.22,0.5,1.95,0.5,0.83,0,0.42,0.33,0.25,0.25,0.75,0,0.36,0.79,0.16,0.05,0.69,0.16,0.15,12:04,MMA
Beneil Dariush,155,177,182,3.89,0.49,2.66,0.47,1.69,0.21,0.8,0.97,0.22,0.44,0.33,0.25,0,0.75,0.42,0.59,0.2,0.21,0.58,0.25,0.17,09:28,MMA
TJ Dillashaw,135,167,170,5.37,0.41,3.03,0.53,1.68,0.26,0.86,0.98,0.5,0.19,0.31,0,0.5,0.5,0.72,0.71,0.1,0.19,0.68,0.15,17,11:41,MMA
Josh Emmett,145,167,177,3.63,0.24,3.26,0.56,1.5,0.45,0.5,0.18,0.4,0.13,0.47,0,0.5,0.5,1.34,0.75,0.11,0.14,0.56,0.24,0.21,11:13,MMA
Andre Filli,145,177,187,4,0.37,3.96,0.53,2.49,0.33,0.59,0.19,0.45,0.15,0.4,0.29,0.43,0.29,0.38,0.85,0.06,0.09,0.69,0.15,0.16,11:10,MMA
Alexander Hernandez,155,175,182,3.5,0.3,3.73,0.39,1.99,0.19,0.57,0,0.36,0.18,0.45,0,0.5,0.5,0.61,0.5,0.35,0.15,0.51,0.45,0.04,08:08,MMA
Aspen Ladd,135,167,167,5.37,0.55,4.91,0.33,2.37,0.37,0.55,1.45,0.67,0.11,0.22,0,0,1,0,0.32,0.2,0.48,0.82,0.14,0.03,06:34,MMA
Chang Sung Jung,145,172,182,4.41,0.28,3.75,0.48,0.79,0.29,0.66,0.62,0.38,0.5,0.13,0,0.4,0.6,0.64,0.76,0.12,0.11,0.79,0.12,0.09,10:21,MMA
Zhang Weilli,115,162,160,5.93,0.34,3.3,0.48,1.52,0.19,1,0.69,0.48,0.33,0.19,0,1,0,0,0.63,0.07,0.3,0.52,0.15,0.33,11:14,MMA
Rose Namajunas,115,165,165,3.95,0.42,3.88,0.47,2.17,0.55,0.33,0.92,0.11,0.67,0.22,0.25,0.5,0.25,0.41,0.74,0.09,0.17,0.79,0.15,0.06,12:16,MMA
Michelle Waterson,115,160,157,3.49,0.53,4.21,0.48,1.83,0.33,0.57,1.15,0.18,0.53,0.29,0.43,0.43,0.14,0,0.58,0.26,0.16,0.48,0.29,0.22,13:36,MMA
Jimmie Rivera,135,162,172,4.1,0.4,3.88,0.61,0.7,0.14,0.95,0,0.18,0.09,0.73,0,0.75,0.25,0.42,0.88,0.1,0.02,0.53,0.22,0.25,11:54,MMA
Luke Rockhold,205,190,195,4.54,0.41,3.55,0.44,0.92,0.29,0.68,1.26,0.38,0.5,0.13,0,0,1,0.47,0.53,0.06,0.41,0.62,0.21,0.16,07:02,MMA
Darren Stewart,185,182,187,2.95,0.44,2.55,0.4,1.61,0.29,0.52,0,0.64,0,0.36,0.4,0.6,0,0.53,0.49,0.38,0.14,0.72,0.17,0.11,08:09,MMA
Raquel Pennnington,135,170,170,3.37,0.34,3.26,0.63,1.14,0.17,0.54,0.87,0.1,0.3,0.6,0.1,0.8,0.1,0,0.58,0.32,0.1,0.63,0.23,0.14,14:15,MMA
Amanda Nunes,135,172,175,4.48,0.37,2.9,0.44,2.04,0.3,0.8,0.67,0.68,0.16,0.16,0.25,0.25,0.5,0.8,0.71,0.06,0.24,0.6,0.16,0.24,7.5,MMA
Jack Hermansson,185,185,195,5.01,0.56,2.16,0.45,2.03,0.31,0.66,0.79,0.55,0.25,0.2,0.4,0.2,0.4,0,0.4,0.14,0.46,0.68,0.13,0.2,06:18,MMA
Benson Henderson,170,175,177,2.93,0.32,1.79,0.52,2.4,0.33,0.52,0.79,0.18,0.32,0.5,0.25,0.63,0.13,0.18,0.59,0.21,0.2,0.43,0.31,0.26,16:13,MMA
Anthony Pettis,155,177,182,2.97,0.46,3.48,0.4,0.67,0.42,0.58,1.19,0.5,0.32,0.18,0.2,0.6,0.2,0.39,0.81,0.09,0.1,0.65,0.2,0.14,11:08,MMA
Urijah Faber,135,167,170,2.66,0.28,2.55,0.52,1.56,0.2,0.47,0.84,0.29,0.49,0.2,0,0.64,0.36,0.38,0.6,0.14,0.26,0.73,0.2,0.07,12:24,MMA
Cory Sandhagen,135,180,177,8.01,0.38,3.44,0.51,1.44,0.5,0.27,1.12,0.33,0.25,0.42,0,1,0,1.64,0.39,0.12,0.48,0.74,0.15,0.1,06:07,MMA
Alexander Volkanovski,145,167,180,6.13,0.46,2.81,0.49,2.47,0.25,0.62,0.46,0.52,0.14,0.33,0,0,1,0.7,0.54,0.17,0.28,0.64,0.13,0.23,12:20,MMA
Marlon Vera,135,172,177,3.29,0.33,3.82,0.53,0.8,0.28,0.68,1.36,0.33,0.53,0.13,0,1,0,0.6,0.71,0.13,0.17,0.52,0.24,0.24,10:23,MMA
Drakkar Klose,155,175,177,3.67,0.38,3.48,0.41,1.58,0.2,0.59,0,0.36,0,0.64,0,0.5,0.5,0,0.67,0.28,0.05,0.45,0.3,0.25,15:00,MMA
Sergio Pettis,125,167,175,3.78,0.37,2.92,0.52,0.88,0.4,0.56,0.39,0.16,0.21,0.63,0.2,0.6,0.2,0.08,0.89,0.05,0.06,0.79,0.11,0.11,15.06,MMA
Deiveson Figueirado,125,165,172,2.48,0.52,2.45,0.42,1.83,0.5,0.47,2.33,0.5,0.33,0.17,0,1,0,1.03,0.52,0.13,0.35,0.69,0.28,0.02,12:07,MMA
Yana Kunitskaya,135,167,172,5.14,0.38,4.06,0.37,2.71,0.53,0.1,0.37,0.58,0.08,0.33,0.4,0.2,0.4,0,0.65,0.29,0.06,0.36,0.33,0.31,11.08,MMA
Yoel Romero,185,182,185,3.38,0.37,3,0.5,1.77,0.23,0.78,0,0.85,0,0.15,0,0.8,0.2,0.89,0.67,0.14,0.2,0.57,0.2,0.23,13:46,MMA
