Fighters Name,Weight (lbs),Height (cm),Reach (cm),SLpM,Str.Acc,SApM,Str.Def,Td.Avg,Td.Acc,Td.Def,Avg.Sub,W.KO,W.Sub,W.Dec,L.Sub,L.Dec,L.KO,KD.Ratio,Str.Stand,Str.Clinch,Str.Ground,Str.Head,Str.Body,Str.Leg,Avg.Fight Time,Type
Alistair Overeem,265,193,203,3.65,0.73,4.69,0.6,0.6,0.25,0.73,0.3,0.51,0.38,0.11,0.06,0.17,0.78,0.9,0.5,0.23,0.27,0.5,0.35,0.15,08:47,Striker
Isreal Adesanya ,185,193,203,4.47,0.54,2.07,0.69,0,0,0.85,0.22,0.78,0,0.22,0,0,0,0.88,0.84,0.13,0.03,0.53,0.19,0.28,13:42,Striker
Khabib Nurmagomedov ,155,177,177,4.29,0.5,1.7,0.67,5.09,0.45,0.85,0.59,0.31,0.31,0.38,0,0,0,0.2,0.4,0.04,0.56,0.87,0.08,0.05,13:56,Grappler
Daniel Cormier ,235,180,182,3.83,0.52,3.66,0.58,1.93,0.47,0.78,0.74,0.45,0.23,0.32,0,0.5,0.5,0.18,0.5,0.28,0.22,0.72,0.16,0.12,12:34,Grappler
Jon Jones ,205,193,213,4.3,0.58,2.22,0.64,1.85,0.44,0.95,0.44,0.43,0.27,0.3,0,1,0,0.22,0.65,0.17,0.18,0.47,0.25,0.29,15:28,MMA
George St-Pierre,185,180,193,3.83,0.53,1.5,0.73,3.94,0.74,0.84,1.05,0.31,0.23,0.46,0.5,0,0.5,0.39,0.58,0.07,0.35,0.65,0.19,0.17,15:34,MMA
Max Holloway ,145,180,175,6.78,0.45,4.29,0.63,0.26,0.83,0.85,0.42,0.48,0.1,0.43,0.2,0.8,0,0.42,0.83,0.1,0.08,0.75,0.2,0.05,15:37,Striker
Jorge Masvidal ,170,180,187,4.33,0.48,4.18,0.67,1.16,0.52,0.78,0.51,0.44,0.06,0.5,0.15,0.77,0.08,0.43,0.7,0.17,0.13,0.62,0.24,0.14,12:58,Striker
Anderson Silva ,185,187,195,3.06,0.6,3.15,0.61,0.18,0.75,0.69,0.35,0.65,0.12,0.24,0.2,0.5,0.3,1.06,0.66,0.16,0.18,0.56,0.21,0.23,10:56,Striker
Dan Henderson ,185,180,187,2.46,0.44,6.29,0.52,0.87,0.35,0.58,0.32,0.5,0.06,0.44,0.27,0.53,0.2,0.63,0.55,0.26,0.19,0.6,0.16,0.24,11:53,MMA
