Fighters Name,Weight (lbs),Height (cm),Reach (cm),SLpM,Str.Acc,SApM,Str.Def,Td.Avg,Td.Acc,Td.Def,Avg.Sub,W.KO,W.Sub,W.Dec,L.Sub,L.Dec,L.KO,KD.Ratio,Str.Stand,Str.Clinch,Str.Ground,Str.Head,Str.Body,Str.Leg,Avg.Fight Time,Type
Royce Gracie ,175,185,194,1.51,0.64,9.68,0.38,0,0,0.67,0.8,0.07,0.8,0.13,0,0,1,0,0.71,0.29,0,0,0.29,0.71,04:39:00,Grappler
Randy Couture ,205,185,190,2.85,0.58,1.53,0.59,2.78,0.47,0.58,0.48,0.37,0.21,0.42,0.36,0.09,0.55,0.06,0.29,0.3,0.41,0.75,0.12,0.13,12:25:00,Grappler
Ryan Bader ,205,187,187,2.82,0.43,1.39,0.72,3.37,0.44,0.81,0.44,0.44,0.11,0.45,0.4,0,0.6,0.51,0.48,0.12,0.42,0.73,0.12,0.14,10:14:00,MMA
Rogerio Nogueria,205,187,190,2.74,0.36,6.12,0.61,0.14,1,0.63,0.28,0.32,0.41,0.27,0,0.56,0.44,0.57,0.69,0.15,0.17,0.75,0.2,0.05,09:36:00,Grappler
Glover Teixeira ,205,187,193,3.46,0.44,3.91,0.55,2.09,0.4,0.61,0.91,0.59,0.28,0.14,0,0.43,0.57,0.45,0.51,0.11,0.38,0.87,0.12,0.01,08:15:00,MMA
Cain Velasquez ,240,185,195,6.48,0.58,2.46,0.57,4.59,0.42,0.86,0.41,0.86,0,0.14,0,0.33,0.67,1.35,0.36,0.27,0.37,0.75,0.11,0.14,07:24:00,MMA
Johnny Walker ,205,198,208,7.5,0.78,2.71,0.29,0.43,1,0.69,1.3,0.82,0.12,0.06,0.2,0.2,0.6,1.67,0.48,0.14,0.38,0.81,0.05,0.14,00:56:00,Striker
Anthony Smith ,205,193,193,3.19,0.5,4.86,0.43,0.52,0.29,0.5,0.52,0.58,0.35,0.06,0.29,0.14,0.58,0.65,0.78,0.16,0.06,0.7,0.19,0.11,10:25:00,MMA
Frank Camacho ,170,177,185,6.23,0.46,7.82,0.53,1.46,0.45,0.8,0,0.77,0.09,0.14,0.25,0.25,0.5,0,0.89,0.1,0.01,0.82,0.17,0.01,12:51:00,Striker
Chris Weidman ,205,187,198,3.15,0.43,3.23,0.51,3.76,0.52,0.73,1.02,0.43,0.29,0.29,0,0,1,0.31,0.63,0.11,0.26,0.75,0.15,0.1,10:32:00,Grappler
